u,g,r,i,z,CLASS
20.1845,18.1545,17.175,16.6645,16.2671,GALAXY
20.7869,19.3174,18.7,18.3295,18.1139,GALAXY
20.9239,19.0838,18.0462,17.6148,17.2728,GALAXY
19.8347,18.7025,18.247,17.9465,17.719,GALAXY
20.2195,18.2735,17.429,17.0095,16.6771,GALAXY
23.9228,21.5838,19.9029,19.2684,18.8394,GALAXY
19.7347,17.8385,16.968,16.5415,16.2061,GALAXY
20.4603,18.4365,17.546,17.1175,16.7571,GALAXY
20.1346,19.0685,18.414,17.9775,17.749,GALAXY
21.7246,20.4113,19.8869,19.6124,19.3702,GALAXY
20.5143,19.0035,18.191,17.7205,17.362,GALAXY
21.1122,19.7024,19.064,18.6995,18.4997,GALAXY
20.0777,18.2765,17.433,17.0115,16.6911,GALAXY
21.622,20.4124,19.984,19.7813,19.5714,GALAXY
22.0694,20.1405,18.812,18.2725,17.848,GALAXY
19.9533,18.8574,18.3052,18.0046,17.7345,GALAXY
20.9692,19.8043,19.3532,19.1336,19.0096,GALAXY
23.9881,21.7707,20.0008,19.2812,18.844,GALAXY
20.3588,18.6776,17.8841,17.4386,17.0841,GALAXY
19.7522,19.362,19.278,19.1532,19.0247,QSO
18.7063,18.491,18.262,18.4443,18.4373,QSO
22.2322,21.0215,19.8169,19.2192,18.8689,QSO
23.8531,21.552,19.775,19.1365,18.7445,GALAXY
21.0242,19.3464,18.5272,18.1376,17.8305,GALAXY
21.6349,19.626,18.592,18.1413,17.7876,GALAXY
20.3901,18.6844,17.8682,17.4466,17.1355,GALAXY
23.943,21.2911,19.5519,18.6143,18.0535,STAR
21.2733,19.7853,19.0082,18.5946,18.2883,GALAXY
22.2822,21.1157,20.7716,20.6265,20.4947,GALAXY
20.3362,18.4024,17.5143,17.0756,16.7315,GALAXY
21.3389,19.588,18.687,18.2013,17.8036,GALAXY
22.8566,21.9906,20.2768,19.6281,19.1345,GALAXY
20.1508,18.4048,17.5162,17.0238,16.7078,GALAXY
20.8272,19.8098,19.5002,19.2837,19.1785,GALAXY
